FIPS,Year,Rent,Houseless_rate,Sheltered_rate,Unsheltered_rate,TOT_POP,TOT_MALE,TOT_FEMALE,TOT_WHITE,TOT_BLACK,TOT_NATIVE,TOT_ASIAN,TOT_PACIFIC,TOT_LATINX,FI Rate,Cost Per Meal,Num_wholesale,Num_restaraunts,Num_grocery,Total_workforce,Employed,Unemployed,Unemployment_rate,coc_number,State,County,State/County,Low Threshold Type,High Threshold Type,percent_male,percent_female,percent_white,percent_black,percent_native,percent_asian,percent_pacific,percent_latinx,percent_nonwhite,gender_ratio,prop_sheltered,prop_unsheltered,wholesale_per_capita,restaurants_per_capita,grocery_per_capita,grocery_to_restaurant_ratio,wholesale_to_restaurant_ratio,grocery_to_wholesale_ratio,employment_rate,unemployment_rate_calc,workforce_participation_rate,monthly_food_cost,food_to_rent_ratio,log_rent,log_cost_per_meal,log_total_workforce,majority_race,delta_FI_rate,delta_unemployment_rate,delta_rent,delta_cost_per_meal,STATE,FI_prev,Predicted FI Rate
01001,2023,,,,,,,,,,,,,,0.151,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.6,,,1.534714366238164,,white,0.0,,,-0.3699999999999996,01,0.151,0.1497081878344665
01003,2023,,,,,,,,,,,,,,0.148,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.9,,,1.6114359150967734,,white,-0.001,,,-0.5,01,0.149,0.14633209699698868
01005,2023,,,,,,,,,,,,,,0.197,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.50000000000006,,,1.4929040961781488,,white,0.007,,,-0.4299999999999997,01,0.19,0.19324718260064155
01007,2023,,,,,,,,,,,,,,0.193,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.4,,,1.4724720573609429,,white,0.002,,,-0.4100000000000001,01,0.191,0.1894470776389875
01009,2023,,,,,,,,,,,,,,0.173,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.4,,,1.4724720573609429,,white,-0.001,,,-0.3500000000000001,01,0.174,0.1706321661462339
01011,2023,,,,,,,,,,,,,,0.19,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.3,,,1.56234630490025,,white,0.0209999999999999,,,-0.4700000000000002,01,0.169,0.18673932506454605
01013,2023,,,,,,,,,,,,,,0.184,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.1,,,1.47932922708708,,white,0.0129999999999999,,,-0.3399999999999998,01,0.171,0.18137004176007554
01015,2023,,,,,,,,,,,,,,0.186,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.29999999999995,,,1.5195132049061133,,white,0.004,,,-0.4700000000000002,01,0.182,0.1826811349589289
01017,2023,,,,,,,,,,,,,,0.173,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.4,,,1.4724720573609429,,white,0.0039999999999999,,,-0.3800000000000003,01,0.169,0.17078458738283764
01019,2023,,,,,,,,,,,,,,0.175,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.1,,,1.47932922708708,,white,-0.004,,,-0.3999999999999999,01,0.179,0.1723525447691573
01021,2023,,,,,,,,,,,,,,0.171,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.49999999999994,,,1.5151272329628591,,white,-0.0039999999999999,,,-0.4400000000000004,01,0.175,0.1683987716456875
01023,2023,,,,,,,,,,,,,,0.188,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.8,,,1.4861396960896067,,white,0.008,,,-0.3799999999999999,01,0.18,0.18490237664573284
01025,2023,,,,,,,,,,,,,,0.197,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.5,,,1.4701758451005928,,white,0.008,,,-0.3799999999999999,01,0.189,0.19341642442794205
