FIPS,FI Rate,Low Threshold Type,High Threshold Type,Cost Per Meal,Year
02013,0.151,SNAP,other nutrition pgm,,2009
02016,0.136,SNAP,other nutrition pgm,,2009
02020,0.119,SNAP,other nutrition pgm,,2009
02050,0.211,SNAP,other nutrition pgm,,2009
02060,0.095,SNAP,other nutrition pgm,,2009
02068,0.133,SNAP,other nutrition pgm,,2009
02070,0.176,SNAP,other nutrition pgm,,2009
02090,0.126,SNAP,other nutrition pgm,,2009
02100,0.137,SNAP,other nutrition pgm,,2009
02110,0.107,SNAP,other nutrition pgm,,2009
02122,0.153,SNAP,other nutrition pgm,,2009
02130,0.129,SNAP,other nutrition pgm,,2009
02150,0.131,SNAP,other nutrition pgm,,2009
02164,0.177,SNAP,other nutrition pgm,,2009
02170,0.146,SNAP,other nutrition pgm,,2009
02180,0.211,SNAP,other nutrition pgm,,2009
02185,0.122,SNAP,other nutrition pgm,,2009
02188,0.198,SNAP,other nutrition pgm,,2009
02220,0.117,SNAP,other nutrition pgm,,2009
02240,0.158,SNAP,other nutrition pgm,,2009
02261,0.139,SNAP,other nutrition pgm,,2009
02270,0.304,SNAP,other nutrition pgm,,2009
02282,0.142,SNAP,other nutrition pgm,,2009
02290,0.241,SNAP,other nutrition pgm,,2009
01001,0.143,SNAP,other nutrition pgm,2.60096,2009
01003,0.142,SNAP,other nutrition pgm,2.66446,2009
01005,0.236,SNAP,other nutrition pgm,2.77114,2009
01007,0.178,SNAP,other nutrition pgm,2.59842,2009
01009,0.137,SNAP,other nutrition pgm,2.5526999999999997,2009
01011,0.287,SNAP,other nutrition pgm,3.0403800000000003,2009
01013,0.244,SNAP,other nutrition pgm,2.53492,2009
01015,0.176,SNAP,other nutrition pgm,2.6162,2009
01017,0.249,SNAP,other nutrition pgm,2.46888,2009
01019,0.164,SNAP,other nutrition pgm,2.5526999999999997,2009
01021,0.165,SNAP,other nutrition pgm,2.5654,2009
01023,0.226,SNAP,other nutrition pgm,2.8701999999999996,2009
01025,0.258,SNAP,other nutrition pgm,2.52476,2009
01027,0.215,SNAP,other nutrition pgm,3.07594,2009
01029,0.16,SNAP,other nutrition pgm,2.96672,2009
01031,0.152,SNAP,other nutrition pgm,2.6162,2009
01033,0.169,SNAP,other nutrition pgm,2.5780999999999996,2009
01035,0.291,SNAP,other nutrition pgm,3.0403800000000003,2009
