FIPS,FI Rate,Low Threshold Type,High Threshold Type,Cost Per Meal,Year,Rent
1001,0.133,,,3.6,2021,
1001,0.151,,,4.01,2022,
1001,0.151,,,3.64,2023,
1003,0.118,,,4.07,2021,
1003,0.149,,,4.51,2022,
1003,0.148,,,4.01,2023,
1005,0.178,,,3.46,2021,
1005,0.19,,,3.88,2022,
1005,0.197,,,3.45,2023,
1007,0.149,,,3.29,2021,
1007,0.191,,,3.77,2022,
1007,0.193,,,3.36,2023,
1009,0.137,,,3.24,2021,
1009,0.174,,,3.71,2022,
1009,0.173,,,3.36,2023,
1011,0.156,,,3.86,2021,
1011,0.169,,,4.24,2022,
1011,0.19,,,3.77,2023,
1013,0.138,,,3.29,2021,
1013,0.171,,,3.73,2022,
1013,0.184,,,3.39,2023,
1015,0.156,,,3.62,2021,
1015,0.182,,,4.04,2022,
1015,0.186,,,3.57,2023,
1017,0.133,,,3.28,2021,
1017,0.169,,,3.74,2022,
1017,0.173,,,3.36,2023,
1019,0.147,,,3.33,2021,
1019,0.179,,,3.79,2022,
1019,0.175,,,3.39,2023,
1021,0.154,,,3.5,2021,
1021,0.175,,,3.99,2022,
1021,0.171,,,3.55,2023,
1023,0.157,,,3.36,2021,
1023,0.18,,,3.8,2022,
1023,0.188,,,3.42,2023,
1025,0.163,,,3.3,2021,
1025,0.189,,,3.73,2022,
1025,0.197,,,3.35,2023,
1027,0.15,,,3.19,2021,
1027,0.18,,,3.67,2022,
1027,0.18,,,3.39,2023,
1029,0.155,,,3.65,2021,
1029,0.178,,,4.08,2022,
1029,0.173,,,3.61,2023,
1031,0.146,,,3.87,2021,
1031,0.178,,,4.28,2022,
1031,0.186,,,3.81,2023,
1033,0.149,,,3.79,2021,
1033,0.176,,,4.17,2022,
1033,0.183,,,3.67,2023,
1035,0.127,,,3.34,2021,
1035,0.171,,,3.73,2022,
1035,0.21,,,3.35,2023,
1037,0.127,,,3.56,2021,
1037,0.158,,,4.06,2022,
1037,0.165,,,3.63,2023,
1039,0.159,,,3.32,2021,
1039,0.192,,,3.77,2022,
1039,0.189,,,3.42,2023,
1041,0.133,,,3.9,2021,
1041,0.164,,,4.28,2022,
1041,0.175,,,3.8,2023,
1043,0.144,,,3.69,2021,
1043,0.174,,,4.16,2022,
1043,0.172,,,3.74,2023,
1045,0.161,,,3.52,2021,
1045,0.19,,,3.91,2022,
1045,0.197,,,3.41,2023,
1047,0.161,,,3.49,2021,
1047,0.191,,,3.88,2022,
1047,0.219,,,3.44,2023,
1049,0.161,,,3.25,2021,
1049,0.194,,,3.73,2022,
1049,0.19,,,3.43,2023,
1051,0.116,,,3.78,2021,
1051,0.141,,,4.17,2022,
1051,0.146,,,3.71,2023,
1053,0.171,,,3.33,2021,
1053,0.193,,,3.73,2022,
1053,0.198,,,3.35,2023,
1055,0.15,,,3.63,2021,
1055,0.175,,,4.09,2022,
1055,0.181,,,3.64,2023,
1057,0.173,,,3.24,2021,
1057,0.205,,,3.68,2022,
1057,0.193,,,3.3,2023,
1059,0.146,,,3.08,2021,
1059,0.183,,,3.53,2022,
1059,0.184,,,3.23,2023,
1061,0.19,,,3.47,2021,
1061,0.206,,,3.99,2022,
1061,0.198,,,3.73,2023,
1063,0.212,,,4.02,2021,
1063,0.211,,,4.46,2022,
1063,0.247,,,3.93,2023,
1065,0.164,,,4.02,2021,
1065,0.191,,,4.46,2022,
1065,0.206,,,3.93,2023,
1067,0.127,,,3.85,2021,
1067,0.166,,,4.25,2022,
1067,0.176,,,3.73,2023,
1069,0.147,,,3.81,2021,
1069,0.174,,,4.21,2022,
1069,0.182,,,3.7,2023,
1071,0.166,,,3.27,2021,
1071,0.2,,,3.78,2022,
1071,0.192,,,3.61,2023,
1073,0.127,,,4.0,2021,
1073,0.152,,,4.43,2022,
1073,0.167,,,3.92,2023,
1075,0.168,,,3.24,2021,
1075,0.187,,,3.68,2022,
1075,0.185,,,3.3,2023,
1077,0.137,,,3.63,2021,
1077,0.164,,,3.99,2022,
1077,0.167,,,3.54,2023,
1079,0.15,,,3.24,2021,
1079,0.18,,,3.68,2022,
1079,0.171,,,3.31,2023,
1081,0.134,,,4.07,2021,
1081,0.155,,,4.51,2022,
1081,0.16,,,4.03,2023,
1083,0.119,,,3.96,2021,
1083,0.148,,,4.35,2022,
1083,0.144,,,3.94,2023,
1085,0.162,,,3.88,2021,
1085,0.18,,,4.27,2022,
1085,0.207,,,3.71,2023,
1087,0.129,,,4.01,2021,
1087,0.165,,,4.45,2022,
1087,0.177,,,3.98,2023,
1089,0.112,,,3.8,2021,
1089,0.139,,,4.22,2022,
1089,0.143,,,3.75,2023,
1091,0.154,,,3.51,2021,
1091,0.177,,,3.94,2022,
1091,0.201,,,3.49,2023,
1093,0.177,,,3.24,2021,
1093,0.2,,,3.68,2022,
1093,0.199,,,3.3,2023,
1095,0.146,,,3.42,2021,
1095,0.176,,,3.85,2022,
1095,0.172,,,3.46,2023,
1097,0.14,,,3.7,2021,
1097,0.163,,,4.12,2022,
1097,0.168,,,3.64,2023,
1099,0.16,,,3.35,2021,
1099,0.186,,,3.78,2022,
1099,0.197,,,3.4,2023,
1101,0.141,,,3.83,2021,
1101,0.16,,,4.21,2022,
1101,0.177,,,3.66,2023,
1103,0.138,,,3.7,2021,
1103,0.164,,,4.07,2022,
1103,0.165,,,3.63,2023,
1105,0.2,,,3.54,2021,
1105,0.214,,,3.94,2022,
1105,0.23,,,3.49,2023,
1107,0.167,,,3.63,2021,
1107,0.193,,,4.1,2022,
1107,0.202,,,3.7,2023,
1109,0.14,,,3.86,2021,
1109,0.17,,,4.24,2022,
1109,0.179,,,3.8,2023,
1111,0.145,,,3.21,2021,
1111,0.184,,,3.68,2022,
1111,0.182,,,3.41,2023,
1113,0.157,,,3.53,2021,
1113,0.188,,,3.96,2022,
1113,0.2,,,3.54,2023,
1115,0.13,,,3.75,2021,
1115,0.152,,,4.2,2022,
1115,0.149,,,3.77,2023,
1117,0.095,,,4.09,2021,
1117,0.125,,,4.55,2022,
1117,0.124,,,4.04,2023,
1119,0.17,,,3.52,2021,
1119,0.187,,,3.86,2022,
1119,0.196,,,3.42,2023,
1121,0.156,,,3.38,2021,
1121,0.181,,,3.81,2022,
1121,0.186,,,3.6,2023,
1123,0.148,,,3.56,2021,
1123,0.176,,,4.06,2022,
1123,0.178,,,3.63,2023,
1125,0.124,,,4.09,2021,
1125,0.152,,,4.54,2022,
1125,0.16,,,4.0,2023,
1127,0.174,,,3.4,2021,
1127,0.195,,,3.83,2022,
1127,0.197,,,3.43,2023,
1129,0.136,,,3.3,2021,
1129,0.162,,,3.73,2022,
1129,0.174,,,3.35,2023,
1131,0.182,,,3.41,2021,
1131,0.198,,,3.85,2022,
1131,0.222,,,3.46,2023,
1133,0.175,,,3.16,2021,
1133,0.2,,,3.59,2022,
1133,0.202,,,3.26,2023,
2013,0.093,,,4.78,2021,
2013,0.122,,,5.19,2022,
2013,0.138,,,4.71,2023,
2016,0.1,,,4.78,2021,
2016,0.128,,,5.19,2022,
2016,0.149,,,4.71,2023,
2020,0.091,,,4.59,2021,
2020,0.112,,,5.05,2022,
2020,0.127,,,4.45,2023,
2050,0.205,,,5.06,2021,
2050,0.202,,,5.5,2022,
2050,0.208,,,4.99,2023,
2060,0.093,,,4.78,2021,
2060,0.135,,,5.19,2022,
2060,0.155,,,4.71,2023,
2063,0.084,,,4.59,2021,
2063,0.11,,,5.05,2022,
2063,0.123,,,4.45,2023,
2066,0.124,,,4.66,2021,
2066,0.166,,,5.09,2022,
2066,0.186,,,4.61,2023,
2068,0.139,,,4.47,2021,
2068,0.106,,,4.96,2022,
2068,0.12,,,4.43,2023,
2070,0.14,,,5.06,2021,
2070,0.153,,,5.5,2022,
2070,0.165,,,4.99,2023,
2090,0.086,,,4.47,2021,
2090,0.111,,,4.96,2022,
2090,0.124,,,4.43,2023,
2100,0.141,,,4.64,2021,
2100,0.127,,,5.08,2022,
2100,0.142,,,4.52,2023,
2105,0.116,,,4.69,2021,
2105,0.149,,,5.12,2022,
2105,0.166,,,4.57,2023,
2110,0.086,,,4.62,2021,
2110,0.104,,,5.05,2022,
2110,0.122,,,4.5,2023,
2122,0.115,,,4.92,2021,
2122,0.136,,,5.34,2022,
2122,0.144,,,4.85,2023,
2130,0.113,,,4.51,2021,
2130,0.125,,,4.93,2022,
2130,0.134,,,4.4,2023,
2150,0.097,,,4.78,2021,
2150,0.116,,,5.19,2022,
2150,0.126,,,4.71,2023,
2158,0.259,,,4.78,2021,
2158,0.252,,,5.19,2022,
2158,0.25,,,4.71,2023,
2164,0.143,,,4.78,2021,
2164,0.152,,,5.19,2022,
2164,0.166,,,4.71,2023,
2170,0.102,,,4.66,2021,
2170,0.123,,,5.09,2022,
2170,0.133,,,4.61,2023,
2180,0.16,,,4.7,2021,
2180,0.175,,,5.21,2022,
2180,0.188,,,4.65,2023,
2185,0.11,,,4.47,2021,
2185,0.131,,,4.96,2022,
2185,0.144,,,4.43,2023,
2188,0.166,,,4.47,2021,
2188,0.176,,,4.96,2022,
2188,0.185,,,4.43,2023,
2195,0.107,,,4.66,2021,
2195,0.123,,,5.1,2022,
2195,0.133,,,4.55,2023,
2198,0.153,,,4.4,2021,
2198,0.166,,,4.81,2022,
2198,0.176,,,4.29,2023,
2220,0.088,,,4.66,2021,
2220,0.111,,,5.1,2022,
2220,0.135,,,4.55,2023,
2230,0.13,,,4.62,2021,
2230,0.126,,,5.05,2022,
2230,0.152,,,4.5,2023,
2240,0.121,,,4.47,2021,
2240,0.149,,,4.96,2022,
2240,0.155,,,4.43,2023,
2275,0.129,,,4.71,2021,
2275,0.148,,,5.15,2022,
2275,0.163,,,4.59,2023,
2282,0.104,,,4.62,2021,
2282,0.134,,,5.05,2022,
2282,0.14,,,4.5,2023,
2290,0.181,,,4.47,2021,
2290,0.195,,,4.96,2022,
2290,0.201,,,4.43,2023,
4001,0.196,,,3.65,2021,
4001,0.215,,,3.99,2022,
4001,0.217,,,3.61,2023,
4003,0.111,,,3.39,2021,
4003,0.148,,,3.78,2022,
4003,0.163,,,3.38,2023,
4005,0.126,,,3.96,2021,
4005,0.144,,,4.32,2022,
4005,0.161,,,3.84,2023,
4007,0.14,,,3.55,2021,
4007,0.168,,,3.91,2022,
4007,0.173,,,3.5,2023,
4009,0.123,,,3.48,2021,
4009,0.146,,,3.84,2022,
4009,0.161,,,3.41,2023,
4011,0.096,,,3.48,2021,
4011,0.136,,,3.84,2022,
4011,0.144,,,3.41,2023,
4012,0.15,,,3.58,2021,
4012,0.186,,,3.92,2022,
4012,0.189,,,3.54,2023,
4013,0.092,,,3.59,2021,
4013,0.12,,,3.99,2022,
4013,0.132,,,3.58,2023,
4015,0.136,,,3.58,2021,
4015,0.164,,,3.92,2022,
4015,0.175,,,3.54,2023,
4017,0.167,,,3.53,2021,
4017,0.19,,,3.87,2022,
4017,0.195,,,3.48,2023,
4019,0.109,,,3.58,2021,
4019,0.14,,,3.94,2022,
4019,0.151,,,3.51,2023,
4021,0.091,,,3.43,2021,
4021,0.123,,,3.83,2022,
4021,0.133,,,3.44,2023,
4023,0.132,,,3.0,2021,
4023,0.176,,,3.31,2022,
4023,0.186,,,2.94,2023,
4025,0.108,,,3.81,2021,
4025,0.136,,,4.21,2022,
4025,0.146,,,3.81,2023,
4027,0.146,,,3.21,2021,
4027,0.188,,,3.57,2022,
4027,0.195,,,3.19,2023,
5001,0.144,,,3.33,2021,
5001,0.18,,,3.63,2022,
5001,0.185,,,3.16,2023,
5003,0.175,,,3.22,2021,
5003,0.214,,,3.55,2022,
5003,0.228,,,3.18,2023,
5005,0.162,,,3.57,2021,
5005,0.197,,,3.94,2022,
5005,0.204,,,3.52,2023,
5007,0.107,,,3.6,2021,
5007,0.14,,,3.96,2022,
5007,0.147,,,3.54,2023,
5009,0.15,,,3.4,2021,
5009,0.181,,,3.78,2022,
5009,0.189,,,3.44,2023,
5011,0.142,,,3.35,2021,
5011,0.182,,,3.71,2022,
5011,0.219,,,3.29,2023,
5013,0.121,,,3.3,2021,
5013,0.164,,,3.64,2022,
5013,0.183,,,3.24,2023,
5015,0.134,,,3.36,2021,
5015,0.174,,,3.72,2022,
5015,0.186,,,3.47,2023,
5017,0.199,,,3.36,2021,
5017,0.212,,,3.74,2022,
5017,0.23,,,3.41,2023,
5019,0.162,,,3.39,2021,
5019,0.19,,,3.73,2022,
5019,0.204,,,3.33,2023,
5021,0.175,,,3.02,2021,
5021,0.207,,,3.43,2022,
5021,0.213,,,3.13,2023,
5023,0.161,,,3.46,2021,
5023,0.189,,,3.84,2022,
5023,0.195,,,3.46,2023,
5025,0.134,,,3.4,2021,
5025,0.175,,,3.71,2022,
5025,0.201,,,3.18,2023,
5027,0.164,,,3.37,2021,
5027,0.191,,,3.7,2022,
5027,0.212,,,3.37,2023,
5029,0.177,,,3.19,2021,
5029,0.211,,,3.58,2022,
5029,0.218,,,3.24,2023,
5031,0.154,,,3.39,2021,
5031,0.187,,,3.74,2022,
5031,0.201,,,3.35,2023,
5033,0.159,,,3.28,2021,
5033,0.193,,,3.67,2022,
5033,0.195,,,3.33,2023,
5035,0.142,,,3.3,2021,
5035,0.17,,,3.73,2022,
5035,0.2,,,3.37,2023,
5037,0.159,,,3.11,2021,
5037,0.195,,,3.47,2022,
5037,0.207,,,3.12,2023,
5039,0.135,,,3.29,2021,
5039,0.166,,,3.62,2022,
5039,0.194,,,3.26,2023,
5041,0.171,,,3.35,2021,
5041,0.206,,,3.72,2022,
5041,0.236,,,3.37,2023,
5043,0.141,,,3.37,2021,
5043,0.186,,,3.67,2022,
5043,0.218,,,3.2,2023,
5045,0.136,,,3.46,2021,
5045,0.166,,,3.87,2022,
5045,0.175,,,3.49,2023,
