RegionID,SizeRank,RegionName,RegionType,StateName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
102001,0,United States,country,,178469.14929091147,172357.71030011462,163357.04234668202,161978.03684436387,172315.08788528878,183951.48197466662,193744.3568402543,205577.09968839036,217898.57540205333,231744.5314031759,243352.07971612373,258493.86020055937,297504.75378930784,341790.04943815223,349978.68068578205,361630.25031386066
394913,1,"New York, NY",msa,NY,412952.30878463126,401317.37040024094,389149.285754174,379994.8230810641,389054.2324339049,409133.4548294849,422747.45815480454,441893.11785249255,464036.99755854526,486740.55140936194,503603.7842388213,520740.6286768164,569693.6137397572,617241.7706141757,631268.0229525451,673771.5020658689
753899,2,"Los Angeles, CA",msa,CA,405039.690091956,403957.2484786906,381474.61049358704,372240.6030892514,429955.98760272836,482992.5799168349,507500.8233117632,526872.7339443107,573679.0462619634,633652.0078589674,649412.4852836739,682947.72468541,777965.7657039341,882556.1703499198,881352.0399292824,940500.5294705248
394463,3,"Chicago, IL",msa,IL,215000.50725850833,200001.94321672575,182099.81595692542,170286.5163607783,177744.6360479618,194652.14334669837,203108.2516139669,213734.42953741134,224854.02204901373,235544.9952320156,241389.34664171605,248189.57354595966,274304.03178593266,298751.05870661256,307379.5686495039,326183.8647377864
394514,4,"Dallas, TX",msa,TX,150500.0809565568,149918.84040436958,144138.70511402827,145773.4469827351,156254.6775010379,169269.45321064396,185696.68013986165,207738.1055526034,229310.14154573157,247989.11764507604,256578.53025117752,267911.4185554984,310388.59354683035,376490.96772223833,378577.91525565926,380382.04147559404
394692,5,"Houston, TX",msa,TX,151754.77388636975,151583.92281763922,145286.63180963098,144081.52092381904,152373.61798860205,169355.9942389891,187618.25892326338,199247.15931651634,206608.43466534745,215052.91250780338,223551.20871302078,232316.0827843364,262328.2117724984,307395.0798884246,311042.8978578111,313456.0034319304
395209,6,"Washington, DC",msa,VA,326644.9964384799,323865.2949858603,318494.9757200449,324210.6468320931,349997.2404114606,370531.4154733883,378329.5974871556,387262.57039007964,399998.6172719198,414277.6652601739,427874.78249675874,449920.0742794436,500377.1357648229,537459.0187413896,543617.5730567591,565689.2780086012
394974,7,"Philadelphia, PA",msa,PA,224324.6345287984,220370.5498811774,208239.60032425786,200656.66816014796,202580.70730825988,207907.00832850384,212427.08957508966,220272.19173770677,229507.15417386996,239488.20659891565,248765.2093642225,264523.62132164737,298842.8652704127,328620.7868222225,344863.6421255976,366094.9677140939
394856,8,"Miami, FL",msa,FL,181450.7638869282,162382.3704808129,149767.72138633506,150670.60212047247,173694.21528070775,201347.28553828472,223561.57591033747,244826.1715607224,264161.2471906211,283025.9510498013,295449.12877173704,310285.9358084586,353158.0524427817,433091.3079267561,467457.9962498773,492237.38544891885
394347,9,"Atlanta, GA",msa,GA,165603.78881969914,153031.47134533987,135131.07968971608,130886.80807550455,145683.27349824537,166823.6832302064,180060.99854531442,194723.2788084492,210116.09778795557,229022.88053875117,244635.2759744457,260433.06085977828,307288.0170504468,372890.7256266141,381316.089669837,392556.5922086903
